Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
85.24,31,61840.26,182.84,Optional contextually-based flexibility,Harrisonmouth,1,Burkina Faso,2016-06-17 03:23:13,0
74.06,50,60938.73,246.29,Horizontal intermediate monitoring,Port Jacquelinestad,1,Anguilla,2016-06-17 09:38:22,0
81.58,25,39699.13,199.39,Decentralized needs-based analyzer,Erikville,0,Hong Kong,2016-05-11 22:02:17,0
69.47,26,59785.94,236.5,Organic bottom-line service-desk,Davidton,0,San Marino,2016-03-13 20:35:42,0
85.26,32,55424.24,224.07,Reverse-engineered dynamic function,Lisafort,1,Netherlands Antilles,2016-02-24 06:18:11,0
77.05,34,65756.36,236.08,Centralized value-added hierarchy,Villanuevastad,0,Namibia,2016-05-17 18:06:46,0
69.08,41,77460.07,210.6,Ergonomic client-driven application,Kimberlyhaven,0,Turks and Caicos Islands,2016-03-12 01:39:19,0
68.82,20,38609.2,205.64,Cross-platform client-server hierarchy,Ramirezland,1,Bolivia,2016-07-11 15:45:23,0
70.41,27,66618.21,223.03,Centralized systematic knowledgebase,Benjaminchester,0,Dominica,2016-04-04 21:30:46,0
79.8,28,57179.91,229.88,Customizable zero-defect Internet solution,West Michaelport,1,Bahamas,2016-04-08 22:40:55,0
78.57,36,64045.93,239.32,Exclusive client-driven model,East Henry,1,Liberia,2016-03-27 02:35:29,0
70.09,21,54725.87,211.17,Automated full-range Internet solution,East Benjaminville,0,Belarus,2016-01-22 12:58:14,0
74.62,36,73207.15,217.79,Self-enabling even-keeled methodology,Lake Kurtmouth,0,Rwanda,2016-04-04 08:19:54,0
85.84,34,64654.66,192.93,Front-line heuristic data-warehouse,Lake Annashire,1,Saint Vincent and the Grenadines,2016-06-15 05:30:13,0
76.32,35,74166.24,195.31,Networked foreground definition,East Michaeltown,1,Korea,2016-06-23 00:16:02,0
68.95,35,61833.9,256.09,Cloned 5thgeneration orchestration,Wrightburgh,0,Tunisia,2016-03-27 00:53:11,0
82.03,41,71511.08,187.53,Intuitive dynamic attitude,Pruittmouth,0,Afghanistan,2016-05-02 07:00:58,0
74.18,28,69874.18,203.87,Front-line even-keeled website,Lake Lisa,0,Cayman Islands,2016-01-20 02:31:36,0
64.24,30,59784.18,252.36,Front-line intermediate database,Zacharystad,0,Tunisia,2016-04-16 11:53:43,0
78.54,35,72524.86,172.1,Multi-channeled asynchronous open system,Port Jodi,0,Togo,2016-05-28 20:41:50,0
69.11,42,73608.99,231.48,Face-to-face mission-critical definition,Novaktown,1,Faroe Islands,2016-04-21 12:34:28,0
89.34,32,50216.01,177.78,Object-based executive productivity,Wendyton,1,Paraguay,2016-03-21 21:15:54,0
66.83,46,77871.75,196.17,Assimilated hybrid initiative,North Jeremyport,1,Cyprus,2016-02-28 23:10:32,0
77.66,29,67080.94,168.15,Operative scalable emulation,Reyesland,0,Gabon,2016-06-19 22:08:15,0
71.0,22,56067.38,211.87,Extended systemic policy,Andersonton,0,Eritrea,2016-03-14 06:46:14,0
84.88,32,63924.82,186.48,Ameliorated tangible hierarchy,Harrishaven,0,Lebanon,2016-04-18 03:41:56,0
86.41,28,45593.93,207.48,Digitized static capability,Lake Melindamouth,1,Aruba,2016-03-01 22:13:37,0
77.29,27,66265.34,201.24,Grass-roots 4thgeneration forecast,Paulshire,1,Tuvalu,2016-02-15 03:43:55,0
82.68,33,62669.59,222.77,Re-engineered exuding frame,West Courtney,1,Ukraine,2016-06-20 09:35:02,0
66.47,31,58037.66,256.39,Vision-oriented human-resource synergy,Lindsaymouth,1,France,2016-03-03 03:13:48,0
66.14,41,78092.95,165.27,Re-engineered impactful software,North Isabellaville,0,Western Sahara,2016-03-23 08:52:31,0
91.1,40,55499.69,198.13,Secured intermediate approach,Michaelmouth,1,Bolivia,2016-03-07 22:51:00,0
85.35,37,64235.51,161.42,Exclusive multi-state Internet solution,Claytonside,1,Ecuador,2016-02-17 11:15:31,0
72.01,31,57756.89,251.0,Horizontal multi-state interface,West Michaelhaven,0,Angola,2016-02-29 12:31:57,0
64.1,22,60465.72,215.93,Seamless object-oriented structure,East Tiffanyport,0,Cote d'Ivoire,2016-04-01 16:21:05,0
66.03,22,59422.47,217.37,Pre-emptive next generation strategy,Ashleymouth,0,American Samoa,2016-05-31 23:32:00,0
72.84,26,52968.22,238.63,Progressive empowering alliance,Wongland,0,Albania,2016-07-08 21:18:32,0
81.46,29,51636.12,231.54,Intuitive fresh-thinking moderator,Sellerstown,0,Ireland,2016-02-29 11:00:06,0
82.72,31,65704.79,179.82,Cross-group global orchestration,North Monicaville,0,Belarus,2016-01-17 05:07:11,0
73.27,28,67301.39,216.24,Front-line multi-state hub,West Angela,1,Luxembourg,2016-05-22 15:17:25,0
75.0,29,63965.16,230.36,Secured upward-trending benchmark,Perezland,1,Eritrea,2016-02-16 02:29:03,0
78.77,28,63497.62,211.83,Public-key intangible Graphical User Interface,Gomezport,0,Guam,2016-01-01 08:27:06,0
80.38,30,55130.96,238.06,Business-focused holistic benchmark,Port Anthony,0,Albania,2016-03-10 07:07:31,0
78.17,27,65227.79,192.27,Automated mobile model,Portermouth,1,Burundi,2016-04-26 20:57:48,0
74.84,37,64775.1,246.44,User-friendly impactful time-frame,Knappburgh,1,Mongolia,2016-01-14 16:30:38,0
78.76,32,70012.83,208.02,Managed attitude-oriented Internet solution,East Valerie,1,Uruguay,2016-04-20 10:04:29,0
83.67,44,60192.72,234.26,Upgradable system-worthy array,West Shaun,1,Saint Helena,2016-02-06 23:08:57,0
81.45,31,66027.31,205.84,Triple-buffered human-resource complexity,Randyshire,1,Mali,2016-05-30 21:22:22,0
75.24,24,52252.91,226.49,Vision-oriented next generation solution,South Christopher,0,Vanuatu,2016-02-25 16:33:24,0
73.38,25,53058.91,236.19,Horizontal transitional challenge,South Corey,1,French Southern Territories,2016-04-21 09:30:35,0
86.69,34,62238.58,198.56,Customer-focused attitude-oriented instruction set,South Jennifer,0,Chad,2016-05-27 06:19:27,0
60.83,19,40478.83,185.46,Versatile next generation pricing structure,West Lacey,1,Palestinian Territory,2016-02-19 20:49:27,0
65.77,21,42162.9,218.61,Function-based fault-tolerant model,Contrerasshire,1,Eritrea,2016-03-18 17:35:40,0
84.59,36,47169.14,241.8,Integrated grid-enabled budgetary management,Lake Jillville,1,Belgium,2016-04-26 13:13:20,0
85.56,29,53673.08,210.46,Advanced modular Local Area Network,South Denisefurt,0,Samoa,2016-06-05 13:16:24,0
83.4,34,66691.23,207.87,Polarized multimedia system engine,West Daleborough,0,Azerbaijan,2016-05-22 21:54:23,0
84.25,32,63936.5,170.9,Pre-emptive client-driven secured line,New Sean,1,Angola,2016-04-10 06:32:11,0
68.41,38,61428.18,259.76,Grass-roots empowering paradigm,Christopherchester,0,Guinea-Bissau,2016-04-30 15:27:22,0
83.4,39,60879.48,235.01,Advanced local task-force,Shaneland,0,Tanzania,2016-04-07 01:57:38,0
61.87,35,66629.61,250.2,Multi-channeled attitude-oriented toolset,North Johnside,1,French Southern Territories,2016-07-10 19:15:52,0
91.15,38,36834.04,184.98,Robust uniform framework,Joshuamouth,0,Cyprus,2016-02-22 07:04:05,0
58.6,19,44490.09,197.93,Configurable impactful firmware,West Mariafort,1,Lebanon,2016-06-05 21:38:22,0
74.06,23,40345.49,225.99,Phased content-based middleware,Port Davidland,0,Wallis and Futuna,2016-07-23 06:18:51,0
70.39,32,47357.39,261.52,Phased 5thgeneration open system,Sabrinaview,1,Cayman Islands,2016-07-12 10:56:21,0
87.85,34,51816.27,153.01,Digitized interactive initiative,Meyerchester,0,Turkmenistan,2016-03-19 08:00:58,0
71.74,35,72423.97,227.56,Multi-channeled reciprocal artificial intelligence,Hammondport,0,Kazakhstan,2016-07-19 18:06:22,0
87.98,38,56637.59,222.11,Focused scalable complexity,West Roytown,1,Cambodia,2016-03-31 10:44:46,0
81.32,25,52416.18,165.65,Pre-emptive next generation Internet solution,Daisymouth,0,Moldova,2016-03-08 05:12:57,0
78.74,28,64828.0,204.79,Public-key foreground groupware,Port Danielleberg,1,Monaco,2016-05-27 15:25:52,0
81.1,29,61172.07,216.49,Front-line dynamic model,Port Stacy,1,El Salvador,2016-07-08 03:47:41,0
81.56,26,51363.16,213.7,Open-source scalable protocol,Juanport,1,Zimbabwe,2016-07-13 21:31:14,0
84.37,30,61389.5,201.58,Synchronized systemic hierarchy,Johnstad,0,Luxembourg,2016-04-12 03:26:39,0
70.13,31,70889.68,224.98,Profit-focused systemic support,Johnsonfort,0,Croatia,2016-05-16 23:21:06,0
81.25,33,65186.58,222.35,Enhanced system-worthy toolset,Frankchester,1,Saint Martin,2016-04-16 14:15:55,0
69.0,32,72683.35,221.21,Virtual composite model,Port Susan,1,Trinidad and Tobago,2016-02-11 04:37:34,0
73.15,25,64631.22,211.12,Face-to-face executive encryption,Lake Patrick,1,Libyan Arab Jamahiriya,2016-01-29 07:14:04,0
83.42,25,49850.52,183.42,Advanced heuristic firmware,East Toddfort,1,Austria,2016-03-04 14:10:12,0
83.66,38,68877.02,175.14,Profound dynamic attitude,East Debraborough,0,Syrian Arab Republic,2016-02-18 03:58:36,0
81.37,26,53049.44,156.48,Business-focused responsive website,Lake Jacqueline,1,Kyrgyz Republic,2016-02-15 12:25:28,0
84.71,32,61610.05,210.23,Reactive responsive emulation,Greenechester,0,Taiwan,2016-05-29 07:29:27,0
83.69,36,68717.0,192.57,Robust context-sensitive neural-net,Shelbyport,0,Fiji,2016-03-23 05:27:35,0
76.44,26,58820.16,224.2,Distributed intangible database,Troyville,1,Madagascar,2016-01-05 06:34:20,0
80.47,25,57519.64,204.86,Reduced global support,Jamesberg,0,Niger,2016-02-11 13:26:22,0
87.18,31,58287.86,193.6,Right-sized logistical middleware,West Andrew,0,Madagascar,2016-01-31 05:12:44,0
75.8,36,71222.4,224.9,Multi-layered fresh-thinking neural-net,East Michaelland,0,Belize,2016-01-21 04:30:43,0
59.88,30,75535.14,193.63,Reverse-engineered content-based intranet,West Michaelstad,1,French Polynesia,2016-03-02 05:11:01,0
78.37,24,55015.08,207.27,Quality-focused zero-defect budgetary management,Pearsonfort,0,Pakistan,2016-01-23 04:47:37,0
76.7,36,71136.49,222.25,Open-source coherent monitoring,West Russell,0,Ecuador,2016-06-12 05:31:19,0
73.46,28,65653.47,222.75,Innovative executive encoding,West Joseph,1,Nicaragua,2016-05-15 14:41:49,0
83.55,39,65816.38,221.18,Switchable well-modulated infrastructure,Elizabethmouth,1,Myanmar,2016-06-08 20:13:27,0
73.71,23,56605.12,211.38,Inverse local hub,New Sheila,1,El Salvador,2016-02-15 05:35:54,0
63.43,29,66504.16,236.75,Ergonomic 24/7 solution,New Shane,1,Peru,2016-04-15 10:18:55,0
75.84,21,48537.18,186.98,Reactive bi-directional workforce,Hayesmouth,0,Cyprus,2016-02-07 07:41:06,0
80.05,25,45959.86,219.94,Networked stable open architecture,Lindaside,1,Christmas Island,2016-03-08 05:48:20,0
77.69,22,48852.58,169.88,Horizontal heuristic support,Morganfort,1,Angola,2016-06-21 14:32:32,0
80.96,39,67866.95,225.0,Integrated leadingedge frame,New Travis,1,Wallis and Futuna,2016-01-17 04:12:30,0
76.24,40,75524.78,198.32,Managed impactful definition,Bakerhaven,1,Burkina Faso,2016-05-31 23:42:26,0
73.04,37,73687.5,221.79,Organic contextually-based focus group,Erinmouth,1,Senegal,2016-06-19 22:26:16,0
66.04,27,71881.84,199.76,Synergistic non-volatile analyzer,Cassandratown,0,Mauritius,2016-03-05 23:02:11,0
77.63,29,56113.37,239.22,Upgradable asynchronous circuit,Port Gregory,0,Azerbaijan,2016-02-14 17:05:15,0
85.84,32,62204.93,192.85,Up-sized 6thgeneration moratorium,Jonesland,1,French Southern Territories,2016-06-09 21:43:05,0
81.05,34,54045.39,245.5,Configurable asynchronous application,Adamsstad,0,Malaysia,2016-05-18 00:07:43,0
84.53,35,54773.99,236.29,User-centric composite contingency,Brownview,0,Myanmar,2016-03-26 00:32:02,0
82.4,36,66744.65,218.97,Implemented bifurcated workforce,Lake Patrick,1,Macedonia,2016-06-29 03:07:51,0
76.99,31,56729.78,244.34,Switchable mobile framework,West Angelabury,1,Jersey,2016-06-22 07:33:21,0
80.22,30,61806.31,224.58,Integrated motivating neural-net,New Tyler,0,Kyrgyz Republic,2016-07-05 15:14:10,0
81.38,31,64929.61,212.3,Balanced dynamic application,Bowenview,0,Saint Helena,2016-02-08 00:23:38,0
67.64,35,51473.28,267.01,Programmable asymmetric data-warehouse,Phelpschester,1,Peru,2016-07-02 20:23:15,0
79.53,51,46132.18,244.91,Managed 6thgeneration hierarchy,Reyesfurt,0,Barbados,2016-06-26 04:22:26,0
71.89,23,61617.98,172.81,Function-based transitional complexity,Patriciahaven,1,Kuwait,2016-02-03 23:47:56,0
78.68,29,66225.72,208.05,Inverse high-level capability,Leonchester,0,Israel,2016-01-16 16:40:30,0
72.82,34,75769.82,191.82,User-centric discrete success,Jonesmouth,1,Czech Republic,2016-01-27 16:06:05,0
73.41,31,73049.3,201.26,Profound executive flexibility,Hollyfurt,1,Guam,2016-01-16 08:01:40,0
80.47,42,70505.06,215.18,Grass-roots multimedia policy,East Jennifer,1,Mali,2016-02-21 05:23:28,0
91.43,39,46964.11,209.91,Organic motivating model,West Carmenfurt,1,French Polynesia,2016-07-07 03:55:01,0
82.52,32,66572.39,198.11,Persevering exuding system engine,North Joshua,1,Turkmenistan,2016-05-08 15:38:46,0
76.24,27,63976.44,214.42,Monitored dynamic instruction set,Munozberg,0,Puerto Rico,2016-06-07 01:29:06,0
79.91,32,62772.42,230.18,Total zero administration software,South Stephanieport,1,United Arab Emirates,2016-06-17 03:02:55,0
63.11,34,63107.88,254.94,Balanced mobile Local Area Network,Port Karenfurt,1,Micronesia,2016-03-17 22:59:46,0
59.99,23,59761.56,226.74,Sharable client-driven software,Jamieberg,1,Norway,2016-05-19 14:30:17,0
81.22,53,34309.24,223.09,Networked coherent interface,Port Jason,1,San Marino,2016-01-07 13:25:21,0
70.03,26,64264.25,227.72,Versatile 4thgeneration system engine,Bradleyborough,1,Samoa,2016-05-22 20:49:37,0
76.02,22,46179.97,209.82,Business-focused value-added definition,West Guybury,0,Bouvet Island (Bouvetoya),2016-01-27 12:38:16,0
80.64,26,46974.15,221.59,Vision-oriented real-time framework,North Laurenview,0,Luxembourg,2016-05-24 10:04:39,0
68.25,33,76480.16,198.86,Organic well-modulated database,New Jamestown,1,Vanuatu,2016-05-30 08:02:35,0
74.15,29,54806.18,245.89,Triple-buffered reciprocal time-frame,West Terrifurt,1,Italy,2016-01-10 02:31:19,0
88.89,35,50439.49,218.8,Balanced 4thgeneration success,East Deborahhaven,1,Cook Islands,2016-07-17 18:55:38,0
85.62,29,57032.36,195.68,Triple-buffered systematic info-mediaries,South Dianeshire,0,Iran,2016-04-14 21:37:49,0
77.65,27,63274.88,212.79,Horizontal client-driven hierarchy,South Ronald,0,Papua New Guinea,2016-02-04 13:30:32,0
66.67,33,72707.87,228.03,Horizontal content-based synergy,Turnerview,1,Taiwan,2016-04-21 20:29:35,0
85.77,27,52261.73,191.78,Implemented disintermediate attitude,South Brian,1,Morocco,2016-04-09 23:26:42,0
74.61,38,71055.22,231.28,Networked impactful framework,East Christopher,1,South Africa,2016-04-06 23:10:40,0
79.94,28,58526.04,225.29,Visionary reciprocal circuit,Odomville,0,United Kingdom,2016-05-03 21:19:58,0
68.25,29,70324.8,220.08,Phased fault-tolerant definition,Wagnerchester,0,Greenland,2016-02-15 16:18:49,0
72.55,22,58953.01,202.34,Balanced empowering success,New Cynthia,0,Bosnia and Herzegovina,2016-02-08 07:33:22,0
69.62,20,50983.75,202.25,Business-focused encompassing neural-net,New Sharon,1,Qatar,2016-02-26 22:46:43,0
74.53,30,68862.0,221.51,Configurable coherent function,West Colin,1,Grenada,2016-04-18 09:33:42,0
86.81,29,50820.74,199.62,Multi-channeled scalable moratorium,Joshuaburgh,1,Turkmenistan,2016-02-21 16:57:59,0
70.68,31,74430.08,199.08,Configurable multi-state utilization,Robertbury,0,Colombia,2016-07-17 01:58:53,0
75.74,25,61005.87,215.25,Ergonomic multi-state structure,New Sheila,1,Tunisia,2016-01-16 11:35:01,0
86.78,30,54952.42,170.13,Fundamental zero tolerance solution,New Steve,1,United States of America,2016-02-18 23:08:59,0
80.87,28,63528.8,203.3,Ameliorated local workforce,Collinsburgh,0,Uruguay,2016-02-27 20:20:25,0
84.54,33,64902.47,204.02,Synchronized stable complexity,North Tracyport,1,Moldova,2016-03-02 10:07:43,0
85.03,30,60372.64,204.52,Expanded clear-thinking core,North Shannon,0,Philippines,2016-06-19 09:24:35,0
74.49,28,58996.12,237.34,Persevering eco-centric flexibility,Lake Adrian,0,Peru,2016-01-30 16:15:29,0
48.22,40,73882.91,214.33,Inverse national core,Turnerville,0,Norfolk Island,2016-03-22 19:14:47,0
79.72,28,66025.11,193.8,Configurable tertiary budgetary management,Wrightburgh,1,Albania,2016-05-20 12:17:59,0
65.8,25,60843.32,231.49,Expanded radical software,Clineshire,1,Gabon,2016-03-18 16:04:59,0
71.27,21,50147.72,216.03,Quality-focused bi-directional throughput,South Blakestad,1,Senegal,2016-01-11 12:46:31,0
70.61,28,72154.68,190.12,Assimilated encompassing portal,Meaganfort,0,Italy,2016-04-16 05:24:33,0
80.59,37,67744.56,224.23,Robust responsive collaboration,Lake Courtney,0,Croatia,2016-07-21 23:14:35,0
74.07,22,50950.24,165.43,Cross-group non-volatile secured line,Joneston,1,Ghana,2016-03-22 04:13:35,0
78.15,33,72042.85,194.37,Ergonomic neutral portal,New Maria,0,Algeria,2016-03-07 22:32:15,0
70.92,39,66522.79,249.81,Up-sized intangible circuit,New Nathan,1,South Africa,2016-07-21 20:30:06,0
73.95,35,67714.82,238.58,Persevering even-keeled help-desk,Millerland,0,Wallis and Futuna,2016-04-10 14:48:35,0
78.84,26,56593.8,217.66,Persistent even-keeled application,Shawnside,1,Italy,2016-06-29 07:20:46,0
75.8,38,70575.6,146.19,Progressive clear-thinking open architecture,Ashleychester,1,Thailand,2016-04-18 11:23:05,0
86.63,39,63764.28,209.64,Face-to-face multimedia success,New Jessicaport,1,Costa Rica,2016-04-06 21:20:07,0
74.38,40,74024.61,220.05,Enhanced zero tolerance Graphic Interface,East Graceland,1,Indonesia,2016-03-13 13:50:25,0
82.79,32,54429.17,234.81,Distributed fault-tolerant service-desk,Lake Zacharyfurt,1,Brunei Darussalam,2016-02-24 10:36:43,0
78.74,27,51409.45,234.75,Quality-focused zero tolerance matrices,West Zacharyborough,0,Ukraine,2016-06-18 19:10:14,0
72.18,30,69438.04,225.02,De-engineered attitude-oriented projection,Lisamouth,0,Bolivia,2016-06-10 22:21:10,0
72.03,34,70783.94,230.95,Up-sized bi-directional infrastructure,Greerton,1,Malta,2016-07-05 22:33:48,0
76.06,23,58633.63,201.04,Diverse multi-tasking parallelism,New Tinamouth,0,Brunei Darussalam,2016-04-27 04:28:17,0
81.59,35,65826.53,223.16,Managed disintermediate capability,North Lisachester,0,Holy See (Vatican City State),2016-07-04 11:03:49,0
69.97,28,55041.6,250.0,Mandatory 3rdgeneration moderator,Cynthiaside,0,Holy See (Vatican City State),2016-05-22 00:01:58,0
77.2,33,49325.48,254.05,Persistent homogeneous framework,North Elizabeth,1,Philippines,2016-02-12 20:36:40,0
84.29,41,60638.38,232.54,Re-contextualized systemic time-frame,Jacksonmouth,0,Niue,2016-01-27 20:47:57,0
69.96,31,73413.87,214.06,Realigned tangible collaboration,New Kayla,1,Netherlands,2016-05-20 12:17:28,0
87.14,31,58235.21,199.4,Up-sized bifurcated capability,Wadestad,1,Timor-Leste,2016-05-18 01:00:52,0
71.84,47,76003.47,199.79,Advanced exuding conglomeration,North Randy,1,Malawi,2016-05-08 22:47:18,0
76.56,30,68030.18,213.75,Business-focused high-level hardware,Greentown,0,Brunei Darussalam,2016-03-08 10:39:16,0
86.38,40,66359.32,188.27,Cross-platform 4thgeneration focus group,Rhondaborough,1,Singapore,2016-03-19 14:57:00,0
80.09,31,66636.84,214.08,Pre-emptive systematic budgetary management,Port Christinemouth,0,Sweden,2016-05-23 21:00:45,0
79.97,44,70449.04,216.0,Programmable empowering middleware,Mariebury,0,China,2016-07-13 01:48:46,0
80.67,34,58909.36,239.76,Seamless impactful info-mediaries,Jamesville,0,Portugal,2016-01-01 02:52:10,0
79.52,27,64287.78,183.48,Automated coherent flexibility,East Timothyport,1,Timor-Leste,2016-06-10 10:11:00,0
89.8,36,57330.43,198.24,User-centric attitude-oriented adapter,West Tanner,0,Lesotho,2016-02-02 04:57:50,0
73.49,38,67132.46,244.23,Organic 3rdgeneration encryption,Mosleyburgh,0,Vanuatu,2016-02-14 11:36:08,0
73.94,27,68333.01,173.49,Function-based incremental standardization,North Alexandra,0,Myanmar,2016-02-10 13:46:35,0
81.03,28,63727.5,201.15,Persevering tertiary capability,Masonhaven,0,Venezuela,2016-01-06 13:20:01,0
76.21,31,65834.97,228.94,Ameliorated exuding encryption,Lake Timothy,1,Bolivia,2016-06-19 23:21:38,0
78.29,38,57844.96,252.07,Networked regional Local Area Network,Villanuevaton,0,Liberia,2016-01-05 20:58:42,0
79.36,33,62330.75,234.72,Cross-platform directional intranet,East Susanland,1,Gambia,2016-01-02 04:50:44,0
77.5,28,60997.84,225.34,Face-to-face responsive alliance,Kennedyfurt,1,Antarctica (the territory South of 60 deg S),2016-07-13 14:05:22,0
88.85,40,58363.12,213.96,Cloned optimal leverage,Cannonbury,0,Bulgaria,2016-01-17 18:45:55,0
73.72,32,52140.04,256.4,Universal contextually-based system engine,Richardsland,1,Thailand,2016-03-18 02:39:26,0
74.58,36,70701.31,230.52,Configurable mission-critical algorithm,East Carlos,0,Jamaica,2016-07-22 11:05:10,0
88.04,45,62589.84,191.17,Profound explicit hardware,Lake Deborahburgh,1,Saint Vincent and the Grenadines,2016-03-07 20:02:51,0
83.16,41,70185.06,194.95,Decentralized 24hour approach,Robinsonland,0,Finland,2016-01-04 04:00:35,0
75.65,39,64021.55,247.9,Organized upward-trending contingency,Brianabury,1,Bahrain,2016-05-30 02:34:25,0
62.42,29,73910.9,198.5,Upgradable optimizing toolset,Jasminefort,1,Canada,2016-03-10 23:36:03,0
83.49,33,66574.0,190.75,Polarized logistical hub,Samuelborough,1,Cambodia,2016-06-03 17:32:47,0
71.55,36,75687.46,163.99,Inverse next generation moratorium,South Troy,1,Suriname,2016-07-20 23:08:28,0
76.02,40,73174.19,219.55,Distributed leadingedge orchestration,Lesliefort,0,Malta,2016-07-13 14:30:14,0
83.97,40,66291.67,158.42,Progressive asynchronous adapter,West Lisa,1,Croatia,2016-02-02 11:49:18,0
76.64,39,66217.31,241.5,Reverse-engineered web-enabled support,North Daniel,1,Poland,2016-02-09 23:38:30,0
78.64,31,60283.47,235.28,Integrated client-server definition,South Renee,1,Nicaragua,2016-01-16 17:56:05,0
49.58,26,56791.75,231.94,Self-enabling holistic process improvement,Johnsport,0,Benin,2016-04-07 16:02:02,0
65.65,30,72209.99,158.05,Up-sized tertiary contingency,Ramosstad,0,Finland,2016-07-02 21:22:23,0
67.58,41,65044.59,255.61,Focused high-level conglomeration,Ingramberg,1,Mayotte,2016-02-01 19:42:40,0
83.17,43,54251.78,244.4,Managed national hardware,Port Kevinborough,1,Sri Lanka,2016-04-05 18:02:49,0
88.91,33,53852.85,208.36,Enhanced dedicated support,Brandonstad,0,Myanmar,2016-01-28 20:59:32,0
86.76,28,48679.54,189.91,Object-based leadingedge complexity,Lawrenceborough,0,Syrian Arab Republic,2016-02-10 08:21:13,0
82.58,38,65496.78,225.23,Open-architected zero administration secured line,West Samantha,1,Dominica,2016-03-11 14:50:56,0
82.95,39,69805.7,201.29,Customer-focused impactful success,Karenmouth,0,Lao People's Democratic Republic,2016-04-05 08:18:45,0
66.18,35,69476.42,243.61,Proactive asymmetric definition,New Johnberg,0,Pitcairn Islands,2016-03-25 08:40:15,0
69.74,49,66524.8,243.37,Enhanced maximized access,Birdshire,0,Hungary,2016-03-27 16:41:29,0
